"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","9.6",""
"Armenia","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","13.9",""
"Australia","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","19.7","1"
"Austria","Female 15-44 yr","2001","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","1.3",""
"Azerbaijan","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","9.0",""
"Bahrain","Female 15-44 yr","2002","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","11.0",""
"Belarus","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","31.7",""
"Belgium","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","7.5",""
"Brazil","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","0.0","2"
"Bulgaria","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","21.3",""
"Canada","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","15.2",""
"China","Female 15-44 yr","1998","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","24.2",""
"Croatia","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","5.7",""
"Cuba","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","24.8",""
"Czech Republic","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","12.2",""
"Denmark","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","14.3",""
"Dominican Republic","Female 15-44 yr","1998","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","16.0",""
"Estonia","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","33.3",""
"Finland","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","11.1",""
"France","Female 15-44 yr","2002","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","16.9",""
"Georgia","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","19.1",""
"Germany","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","7.8",""
"Greece","Female 15-44 yr","1999","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","5.0",""
"Hungary","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","23.4",""
"Iceland","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","14.1",""
"India","Female 15-44 yr","2001","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","3.1",""
"Israel","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","13.9",""
"Italy","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","10.6",""
"Japan","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","12.3","3"
"Kazakhstan","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","35.0",""
"Kyrgyzstan","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","15.8",""
"Latvia","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","27.3",""
"Lithuania","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","13.9",""
"Macedonia","Female 15-44 yr","2001","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","18.4",""
"Mexico","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","0.1",""
"Mongolia","Female 15-44 yr","1997","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","21.7",""
"Netherlands","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","10.4",""
"New Zealand","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","19.7",""
"Norway","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","15.2",""
"Panama","Female 15-44 yr","2000","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","0.0",""
"Poland","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","0.0",""
"Portugal","Female 15-44 yr","2002","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","0.2",""
"Qatar","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","1.2",""
"Republic of Moldova","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","17.6",""
"Romania","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","27.8",""
"Russian Federation","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","53.7",""
"Seychelles","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","21.6",""
"Singapore","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","12.6",""
"Slovakia","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","11.7",""
"Slovenia","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","15.2",""
"South Africa","Female 15-44 yr","2000","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","4.5",""
"Spain","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","8.3",""
"Sweden","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","20.2",""
"Switzerland","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","7.3",""
"Tajikistan","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","12.6","4"
"Tunisia","Female 15-44 yr","1996","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","8.6",""
"Ukraine","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","27.5",""
"United Kingdom","Female 15-44 yr","2005","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","17.0","5"
"United States of America","Female 15-44 yr","2003","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","20.8","6"
"Uzbekistan","Female 15-44 yr","2004","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","7.8",""
"Vietnam","Female 15-44 yr","2000","UNPD_World Abortion Policies_2007","Abortions per 1,000 women","35.2","2"

"fnSeqID","Footnote"
"1","Estimated number of abortions taken from Chan, A. and L.C. Sage: Estimating Australia’s abortion rates 1985-2003. Medical Journal of Australia, vol. 182 No. 9, 2 May 2005, pp. 447-453."
"2","Excludes abortions in private-sector clinics."
"3","Data refer to Japanese nationals residing in Japan only."
"4","Includes spontaneous abortions."
"5","For residents of England and Wales only."
"6","Based on data from 49 out of 52 reporting areas (50 states, the District of Columbia, and New York City) in the United States."
