"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Percent","56","1"
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Percent","56",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Percent","54","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Percent","54",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Percent","54",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Percent","52","1"
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","49","1"
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","48","1"
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Percent","59",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Percent","58",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Percent","56",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Percent","54","1"
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Percent","33","1"
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Percent","62","1"
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Percent","60","1"
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Percent","62",""
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Percent","62","1"
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Percent","65","1"
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Percent","65","1"
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Percent","63","1"
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Percent","71",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Percent","66","1"
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Percent","66",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Percent","69",""
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","81",""
"Armenia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","81",""
"Armenia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","84",""
"Armenia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","81",""
"Armenia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","81","1"
"Aruba","Female","2005","UNESCO_UIS Database_Sep2007","Percent","52",""
"Aruba","Female","2004","UNESCO_UIS Database_Sep2007","Percent","51",""
"Aruba","Female","2003","UNESCO_UIS Database_Sep2007","Percent","50",""
"Aruba","Female","2002","UNESCO_UIS Database_Sep2007","Percent","49",""
"Aruba","Female","2001","UNESCO_UIS Database_Sep2007","Percent","51",""
"Aruba","Female","2000","UNESCO_UIS Database_Sep2007","Percent","49","1"
"Aruba","Female","1999","UNESCO_UIS Database_Sep2007","Percent","49",""
"Austria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","61",""
"Austria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","61",""
"Austria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","60",""
"Austria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","60",""
"Austria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","58","1"
"Austria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","57",""
"Azerbaijan","Female","2005","UNESCO_UIS Database_Sep2007","Percent","65",""
"Azerbaijan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","65",""
"Azerbaijan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","65",""
"Azerbaijan","Female","2002","UNESCO_UIS Database_Sep2007","Percent","64",""
"Azerbaijan","Female","2001","UNESCO_UIS Database_Sep2007","Percent","63",""
"Azerbaijan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","63",""
"Azerbaijan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","63",""
"Bahamas","Female","2005","UNESCO_UIS Database_Sep2007","Percent","73",""
"Bahamas","Female","2004","UNESCO_UIS Database_Sep2007","Percent","68","1"
"Bahamas","Female","2003","UNESCO_UIS Database_Sep2007","Percent","67","1"
"Bahamas","Female","2002","UNESCO_UIS Database_Sep2007","Percent","67",""
"Bahamas","Female","2001","UNESCO_UIS Database_Sep2007","Percent","69","1"
"Bahamas","Female","2000","UNESCO_UIS Database_Sep2007","Percent","72","1"
"Bahamas","Female","1999","UNESCO_UIS Database_Sep2007","Percent","74","1"
"Bahrain","Female","2002","UNESCO_UIS Database_Sep2007","Percent","54","1"
"Bahrain","Female","2001","UNESCO_UIS Database_Sep2007","Percent","52","1"
"Bahrain","Female","2000","UNESCO_UIS Database_Sep2007","Percent","52","1"
"Bangladesh","Female","2004","UNESCO_UIS Database_Sep2007","Percent","18",""
"Bangladesh","Female","2003","UNESCO_UIS Database_Sep2007","Percent","16",""
"Bangladesh","Female","2002","UNESCO_UIS Database_Sep2007","Percent","14",""
