"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.29",""
"Albania","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"Algeria","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"Algeria","Total 15+ yr","1987","UNESCO_UIS Database_Sep2007","Ratio","0.57",""
"Angola","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.65",""
"Argentina","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"Argentina","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"Armenia","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"Armenia","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"Aruba","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"Azerbaijan","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","0.99",""
"Bahrain","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.94",""
"Bahrain","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.87",""
"Bangladesh","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.76",""
"Bangladesh","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","0.58",""
"Belarus","Total 15+ yr","1999","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"Belarus","Total 15+ yr","1989","UNESCO_UIS Database_Sep2007","Ratio","0.97",""
"Belize","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
"Benin","Total 15+ yr","2002","UNESCO_UIS Database_Sep2007","Ratio","0.49",""
"Benin","Total 15+ yr","1992","UNESCO_UIS Database_Sep2007","Ratio","0.42",""
"Bolivia","Total 15+ yr","2001","UNESCO_UIS Database_Sep2007","Ratio","0.87",""
"Bolivia","Total 15+ yr","1992","UNESCO_UIS Database_Sep2007","Ratio","0.82",""
"Bosnia and Herzegovina","Total 15+ yr","2000","UNESCO_UIS Database_Sep2007","Ratio","0.95",""
"Botswana","Total 15+ yr","2003","UNESCO_UIS Database_Sep2007","Ratio","1.02",""
"Botswana","Total 15+ yr","1991","UNESCO_UIS Database_Sep2007","Ratio","1.09",""
"Brazil","Total 15+ yr","2004","UNESCO_UIS Database_Sep2007","Ratio","1.00",""
