"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Armenia","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4","1"
"Aruba","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","7","1"
"Austria","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","2","1"
"Bahamas","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","14",""
"Bahrain","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","40","2"
"Bahrain","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","47","2"
"Belarus","Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4","1"
"Belarus","Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4",""
"Belize","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","16",""
"Benin","Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","26","3"
"Bermuda","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","6","1"
"Bermuda","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","8","1"
"Botswana","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","16",""
"Brazil","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","13","4"
"British Virgin Islands","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","19","5"
"Burkina Faso","Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","24","1"
"Cambodia","Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","6",""
"Canada","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4","1"
"Cayman Islands","Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","10",""
"Central African Republic","Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","32",""
"China","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","2","6"
"Cook Islands","Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","13",""
"Croatia","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","2","1"
"Croatia","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4",""
"Czech Republic","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4","1"
"Dominica","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","9",""
"Ecuador","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","16","7"
"El Salvador","Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","14",""
"Estonia","Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","5","8"
"Ethiopia","Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","14",""
"Finland","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","1","1"
"Finland","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","1","1"
"Hungary","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","3",""
"Hungary","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","5",""
"India","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","29","9"
"Indonesia","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","42","10"
"Indonesia","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","46","2"
"Iraq","Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","54","11"
"Iraq","Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","51",""
"Kazakhstan","Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","5","1"
"Kazakhstan","Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","4",""
"Korea Rep","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","41","12"
"Korea Rep","Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","30","13"
"Kyrgyzstan","Female","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","5","1"
"Lao PDR","Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","10","14"
"Latvia","Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","5","1"
"Lithuania","Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","3","1"
"Luxembourg","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","1","1"
"Macau SAR","Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","1","1"
"Macedonia","Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","3","1"
"Malawi","Female","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","27",""
"Malawi","Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","29",""
"Maldives","Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","6",""
"Maldives","Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Percent","12",""
