"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female 15-49 yr","2003","UNSD_MDGInfo CDROM_Oct2007","Percent","10.3",""
"Afghanistan","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","4.8",""
"Albania","Female 15-49 yr","2002","UNSD_MDGInfo CDROM_Oct2007","Percent","75.1",""
"Albania","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","57.5",""
"Algeria","Female 15-49 yr","2002","UNSD_MDGInfo CDROM_Oct2007","Percent","57.0",""
"Algeria","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","64.0",""
"Algeria","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","56.9",""
"Algeria","Female 15-49 yr","1992","UNSD_MDGInfo CDROM_Oct2007","Percent","50.9",""
"Angola","Female 15-49 yr","2001","UNSD_MDGInfo CDROM_Oct2007","Percent","6.2",""
"Angola","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","8.1",""
"Armenia","Female 15-49 yr","2005","UNSD_MDGInfo CDROM_Oct2007","Percent","53.1",""
"Armenia","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","60.5",""
"Austria","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","50.8","1"
"Azerbaijan","Female 15-49 yr","2001","UNSD_MDGInfo CDROM_Oct2007","Percent","55.4",""
"Azerbaijan","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","55.1",""
"Bahrain","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","61.8","2"
"Bangladesh","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","58.1",""
"Bangladesh","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","53.8","3"
"Bangladesh","Female 15-49 yr","1997","UNSD_MDGInfo CDROM_Oct2007","Percent","49.2","4"
"Bangladesh","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","44.6","5"
"Bangladesh","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","39.9",""
"Belarus","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","50.4",""
"Belgium","Female 15-49 yr","1992","UNSD_MDGInfo CDROM_Oct2007","Percent","78.4","6"
"Belize","Female 15-49 yr","1999","UNSD_MDGInfo CDROM_Oct2007","Percent","56.1",""
"Belize","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","46.7",""
"Benin","Female 15-49 yr","2001","UNSD_MDGInfo CDROM_Oct2007","Percent","18.6",""
"Benin","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","16.4",""
"Bhutan","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","30.7",""
"Bhutan","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","18.8",""
"Bolivia","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","58.4","7"
"Bolivia","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","53.4",""
"Bolivia","Female 15-49 yr","1998","UNSD_MDGInfo CDROM_Oct2007","Percent","48.3",""
"Bolivia","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","45.3",""
"Bosnia and Herzegovina","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","47.5",""
"Botswana","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","40.4",""
"Brazil","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","76.7",""
"Bulgaria","Female 15-49 yr","1997","UNSD_MDGInfo CDROM_Oct2007","Percent","41.5",""
"Bulgaria","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","85.9",""
"Burkina Faso","Female 15-49 yr","2003","UNSD_MDGInfo CDROM_Oct2007","Percent","13.8",""
"Burkina Faso","Female 15-49 yr","1999","UNSD_MDGInfo CDROM_Oct2007","Percent","11.9","8"
"Burkina Faso","Female 15-49 yr","1993","UNSD_MDGInfo CDROM_Oct2007","Percent","7.9","9"
"Burundi","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","15.7",""
"Cambodia","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","23.8",""
"Cambodia","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","12.5",""
"Cameroon","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","26.0",""
"Cameroon","Female 15-49 yr","1998","UNSD_MDGInfo CDROM_Oct2007","Percent","19.3",""
"Cameroon","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","16.1",""
"Canada","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","74.7",""
"Cape Verde","Female 15-49 yr","1998","UNSD_MDGInfo CDROM_Oct2007","Percent","52.9",""
"Central African Republic","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","27.9",""
"Central African Republic","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","14.8","10"
"Chad","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","2.8",""
"Chad","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","7.9",""
"Chad","Female 15-49 yr","1997","UNSD_MDGInfo CDROM_Oct2007","Percent","4.1","4"
"China","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","90.2",""
"China","Female 15-49 yr","1997","UNSD_MDGInfo CDROM_Oct2007","Percent","83.8",""
"China","Female 15-49 yr","1992","UNSD_MDGInfo CDROM_Oct2007","Percent","83.4",""
"Colombia","Female 15-49 yr","2005","UNSD_MDGInfo CDROM_Oct2007","Percent","78.2","11"
"Colombia","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","76.9",""
"Colombia","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","72.2",""
"Colombia","Female 15-49 yr","1990","UNSD_MDGInfo CDROM_Oct2007","Percent","66.1",""
"Comoros","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","25.7",""
"Comoros","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","21.0",""
"Congo","Female 15-49 yr","2005","UNSD_MDGInfo CDROM_Oct2007","Percent","44.3",""
"Congo Dem. Rep.","Female 15-49 yr","2001","UNSD_MDGInfo CDROM_Oct2007","Percent","31.4",""
"Congo Dem. Rep.","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","7.7",""
"Cook Islands","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","63.2",""
"Costa Rica","Female 15-49 yr","1999","UNSD_MDGInfo CDROM_Oct2007","Percent","80.0",""
"Costa Rica","Female 15-49 yr","1993","UNSD_MDGInfo CDROM_Oct2007","Percent","75.0","9"
"Côte d’Ivoire","Female 15-49 yr","1999","UNSD_MDGInfo CDROM_Oct2007","Percent","15.0","8"
"Côte d’Ivoire","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","11.4",""
"Cuba","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","73.3",""
"Czech Republic","Female 15-49 yr","1997","UNSD_MDGInfo CDROM_Oct2007","Percent","72.0",""
"Czech Republic","Female 15-49 yr","1993","UNSD_MDGInfo CDROM_Oct2007","Percent","68.9",""
"Czech Republic","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","78.0",""
"Djibouti","Female 15-49 yr","2002","UNSD_MDGInfo CDROM_Oct2007","Percent","9.0",""
"Dominican Republic","Female 15-49 yr","2002","UNSD_MDGInfo CDROM_Oct2007","Percent","69.8",""
"Dominican Republic","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","64.7",""
"Dominican Republic","Female 15-49 yr","1996","UNSD_MDGInfo CDROM_Oct2007","Percent","63.7",""
"Dominican Republic","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","56.4",""
"Ecuador","Female 15-49 yr","2004","UNSD_MDGInfo CDROM_Oct2007","Percent","72.7",""
"Ecuador","Female 15-49 yr","1999","UNSD_MDGInfo CDROM_Oct2007","Percent","65.8",""
"Ecuador","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","56.8",""
"Egypt","Female 15-49 yr","2005","UNSD_MDGInfo CDROM_Oct2007","Percent","59.2",""
"Egypt","Female 15-49 yr","2003","UNSD_MDGInfo CDROM_Oct2007","Percent","60.0",""
"Egypt","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","56.1",""
"Egypt","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","47.9",""
"Egypt","Female 15-49 yr","1992","UNSD_MDGInfo CDROM_Oct2007","Percent","47.1",""
"Egypt","Female 15-49 yr","1991","UNSD_MDGInfo CDROM_Oct2007","Percent","47.6",""
"El Salvador","Female 15-49 yr","2003","UNSD_MDGInfo CDROM_Oct2007","Percent","67.3","12"
"El Salvador","Female 15-49 yr","1998","UNSD_MDGInfo CDROM_Oct2007","Percent","59.7",""
"El Salvador","Female 15-49 yr","1993","UNSD_MDGInfo CDROM_Oct2007","Percent","53.3",""
"Eritrea","Female 15-49 yr","2002","UNSD_MDGInfo CDROM_Oct2007","Percent","8.0",""
"Eritrea","Female 15-49 yr","1995","UNSD_MDGInfo CDROM_Oct2007","Percent","8.0",""
"Estonia","Female 15-49 yr","1994","UNSD_MDGInfo CDROM_Oct2007","Percent","70.3",""
"Ethiopia","Female 15-49 yr","2005","UNSD_MDGInfo CDROM_Oct2007","Percent","14.7",""
"Ethiopia","Female 15-49 yr","2000","UNSD_MDGInfo CDROM_Oct2007","Percent","8.1",""
