"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Rural","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","95.0","1"
"Albania","Rural","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","91.8",""
"Albania","Rural","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","90.0",""
"Albania","Rural","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","90.3",""
"Albania","Rural","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.9",""
"Albania","Rural","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.8",""
"Albania","Rural","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.5",""
"Albania","Rural","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.6",""
"Albania","Rural","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.8",""
"Albania","Rural","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","92.3",""
"Algeria","Rural","1998","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","96.9","2"
"American Samoa","Rural","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","93.7","3"
"Argentina","Rural","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","90.3","4"
"Argentina","Rural","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","89.7","4"
"Argentina","Rural","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","89.0","4"
"Argentina","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","88.6",""
"Argentina","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","88.5","4"
"Argentina","Rural","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","88.0","4"
"Armenia","Rural","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.4","2"
"Armenia","Rural","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","101.7","2"
"Armenia","Rural","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.0","2"
"Armenia","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","108.0","5"
"Armenia","Rural","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","99.0",""
"Armenia","Rural","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.0",""
"Armenia","Rural","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","100.7",""
"Australia","Rural","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","91.6","2"
"Australia","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","91.4",""
"Australia","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","96.6","6"
"Australia","Rural","1986","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","90.4",""
"Austria","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","101.2","2"
"Austria","Rural","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","102.0","2"
"Azerbaijan","Rural","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.4",""
"Azerbaijan","Rural","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.6",""
"Azerbaijan","Rural","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.9",""
"Azerbaijan","Rural","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.2",""
"Azerbaijan","Rural","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.5",""
"Azerbaijan","Rural","1999","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","103.8","2"
"Azerbaijan","Rural","1999","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.7",""
"Azerbaijan","Rural","1998","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.3",""
"Azerbaijan","Rural","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.8",""
"Azerbaijan","Rural","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","102.5",""
"Azerbaijan","Rural","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","103.5",""
"Azerbaijan","Rural","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Women per 100 men","104.9",""
"Azerbaijan","Rural","1989","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","106.7","2"
"Bahamas","Rural","1990","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Women per 100 men","96.1",""
