"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","86",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","81",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","83",""
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","88","1"
"Algeria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","88",""
"Algeria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","88",""
"Algeria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","93",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Percent","92",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Percent","92",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Percent","93",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Percent","90",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Percent","97",""
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Percent","97","1"
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Percent","97",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Percent","97",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Percent","96",""
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Percent","96",""
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Armenia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Armenia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Armenia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Armenia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","99",""
"Armenia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Aruba","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Aruba","Female","2004","UNESCO_UIS Database_Sep2007","Percent","99",""
"Aruba","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Aruba","Female","2002","UNESCO_UIS Database_Sep2007","Percent","99",""
"Aruba","Female","2001","UNESCO_UIS Database_Sep2007","Percent","99",""
"Aruba","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Aruba","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Austria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Austria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","99",""
"Austria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Austria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","99",""
"Austria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Austria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","99",""
"Azerbaijan","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Azerbaijan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bahamas","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Bahamas","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bahamas","Female","2001","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Bahamas","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Bahamas","Female","1999","UNESCO_UIS Database_Sep2007","Percent","97",""
"Bahrain","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Bahrain","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Bahrain","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Bahrain","Female","2002","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Bahrain","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bahrain","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Bahrain","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bangladesh","Female","2004","UNESCO_UIS Database_Sep2007","Percent","90",""
"Bangladesh","Female","2003","UNESCO_UIS Database_Sep2007","Percent","88",""
"Bangladesh","Female","2002","UNESCO_UIS Database_Sep2007","Percent","34",""
"Bangladesh","Female","2001","UNESCO_UIS Database_Sep2007","Percent","32",""
"Bangladesh","Female","2000","UNESCO_UIS Database_Sep2007","Percent","34",""
"Bangladesh","Female","1999","UNESCO_UIS Database_Sep2007","Percent","33",""
"Barbados","Female","2005","UNESCO_UIS Database_Sep2007","Percent","95",""
"Barbados","Female","2004","UNESCO_UIS Database_Sep2007","Percent","95","1"
"Barbados","Female","2003","UNESCO_UIS Database_Sep2007","Percent","96","1"
"Barbados","Female","2002","UNESCO_UIS Database_Sep2007","Percent","94","1"
"Barbados","Female","2001","UNESCO_UIS Database_Sep2007","Percent","95","1"
"Barbados","Female","2000","UNESCO_UIS Database_Sep2007","Percent","93","1"
"Barbados","Female","1999","UNESCO_UIS Database_Sep2007","Percent","93","1"
"Belarus","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belarus","Female","2004","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belarus","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belarus","Female","2002","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belarus","Female","2001","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belarus","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Belgium","Female","2005","UNESCO_UIS Database_Sep2007","Percent","98",""
"Belgium","Female","2004","UNESCO_UIS Database_Sep2007","Percent","98",""
"Belgium","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belgium","Female","2002","UNESCO_UIS Database_Sep2007","Percent","93",""
"Belgium","Female","2001","UNESCO_UIS Database_Sep2007","Percent","92",""
"Belgium","Female","2000","UNESCO_UIS Database_Sep2007","Percent","92","1"
"Belize","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belize","Female","2004","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belize","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Belize","Female","2002","UNESCO_UIS Database_Sep2007","Percent","98","1"
"Belize","Female","2001","UNESCO_UIS Database_Sep2007","Percent","98",""
"Belize","Female","2000","UNESCO_UIS Database_Sep2007","Percent","98","1"
"Belize","Female","1999","UNESCO_UIS Database_Sep2007","Percent","98",""
"Benin","Female","2005","UNESCO_UIS Database_Sep2007","Percent","71",""
"Benin","Female","2004","UNESCO_UIS Database_Sep2007","Percent","66",""
"Benin","Female","2003","UNESCO_UIS Database_Sep2007","Percent","65",""
"Benin","Female","2002","UNESCO_UIS Database_Sep2007","Percent","68","1"
"Benin","Female","2001","UNESCO_UIS Database_Sep2007","Percent","72",""
"Benin","Female","2000","UNESCO_UIS Database_Sep2007","Percent","66","1"
"Benin","Female","1999","UNESCO_UIS Database_Sep2007","Percent","61",""
"Bhutan","Female","2001","UNESCO_UIS Database_Sep2007","Percent","53","1"
"Bhutan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","50",""
"Bhutan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","31",""
"Bolivia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","92","1"
"Bolivia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","92",""
"Bolivia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","92",""
"Bolivia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","95",""
"Bolivia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","94",""
"Bolivia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","93",""
"Bolivia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","93",""
"Brazil","Female","2004","UNESCO_UIS Database_Sep2007","Percent","98",""
"Brazil","Female","2003","UNESCO_UIS Database_Sep2007","Percent","94",""
"Brazil","Female","2002","UNESCO_UIS Database_Sep2007","Percent","96",""
"Brazil","Female","2001","UNESCO_UIS Database_Sep2007","Percent","98",""
"Brazil","Female","2000","UNESCO_UIS Database_Sep2007","Percent","98",""
"Brazil","Female","1999","UNESCO_UIS Database_Sep2007","Percent","98",""
"British Virgin Islands","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"British Virgin Islands","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"British Virgin Islands","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"British Virgin Islands","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"British Virgin Islands","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100","1"
"British Virgin Islands","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"British Virgin Islands","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Brunei","Female","2005","UNESCO_UIS Database_Sep2007","Percent","96",""
"Brunei","Female","2004","UNESCO_UIS Database_Sep2007","Percent","86","2"
"Brunei","Female","2003","UNESCO_UIS Database_Sep2007","Percent","87","2"
"Brunei","Female","2002","UNESCO_UIS Database_Sep2007","Percent","86","2"
"Brunei","Female","2001","UNESCO_UIS Database_Sep2007","Percent","83","2"
"Brunei","Female","2000","UNESCO_UIS Database_Sep2007","Percent","82","2"
"Brunei","Female","1999","UNESCO_UIS Database_Sep2007","Percent","83","2"
"Bulgaria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bulgaria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bulgaria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bulgaria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bulgaria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Bulgaria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99",""
"Bulgaria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Burkina Faso","Female","2002","UNESCO_UIS Database_Sep2007","Percent","66","1"
"Burkina Faso","Female","2001","UNESCO_UIS Database_Sep2007","Percent","66",""
"Burkina Faso","Female","2000","UNESCO_UIS Database_Sep2007","Percent","66","1"
"Burundi","Female","2005","UNESCO_UIS Database_Sep2007","Percent","88","1"
"Burundi","Female","2004","UNESCO_UIS Database_Sep2007","Percent","92",""
"Burundi","Female","2003","UNESCO_UIS Database_Sep2007","Percent","90","1"
"Burundi","Female","2002","UNESCO_UIS Database_Sep2007","Percent","93","1"
"Burundi","Female","2001","UNESCO_UIS Database_Sep2007","Percent","93","1"
"Burundi","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Burundi","Female","1999","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Cambodia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99",""
"Cambodia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","99",""
"Cambodia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Cambodia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","99",""
"Cambodia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","98",""
"Cambodia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99",""
"Cambodia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Cameroon","Female","2005","UNESCO_UIS Database_Sep2007","Percent","99","1"
"Cameroon","Female","2004","UNESCO_UIS Database_Sep2007","Percent","97","1"
"Cameroon","Female","2003","UNESCO_UIS Database_Sep2007","Percent","97",""
"Cameroon","Female","2002","UNESCO_UIS Database_Sep2007","Percent","96","1"
"Cameroon","Female","2001","UNESCO_UIS Database_Sep2007","Percent","97",""
"Cameroon","Female","2000","UNESCO_UIS Database_Sep2007","Percent","97","1"
"Cameroon","Female","1999","UNESCO_UIS Database_Sep2007","Percent","97",""
"Canada","Female","2000","UNESCO_UIS Database_Sep2007","Percent","68","1"
"Canada","Female","1999","UNESCO_UIS Database_Sep2007","Percent","68","1"
"Cape Verde","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cape Verde","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cape Verde","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cape Verde","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cape Verde","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100","1"
"Cayman Islands","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cayman Islands","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cayman Islands","Female","2002","UNESCO_UIS Database_Sep2007","Percent","98",""
"Cayman Islands","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cayman Islands","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cayman Islands","Female","1999","UNESCO_UIS Database_Sep2007","Percent","96",""
"Chile","Female","2005","UNESCO_UIS Database_Sep2007","Percent","98",""
"Chile","Female","2004","UNESCO_UIS Database_Sep2007","Percent","98",""
"Chile","Female","2003","UNESCO_UIS Database_Sep2007","Percent","99",""
"Chile","Female","2002","UNESCO_UIS Database_Sep2007","Percent","97",""
"Chile","Female","2000","UNESCO_UIS Database_Sep2007","Percent","99",""
"China","Female","2005","UNESCO_UIS Database_Sep2007","Percent","97",""
"China","Female","2001","UNESCO_UIS Database_Sep2007","Percent","94",""
"China","Female","2000","UNESCO_UIS Database_Sep2007","Percent","94",""
"China","Female","1999","UNESCO_UIS Database_Sep2007","Percent","94",""
"Colombia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","96",""
"Colombia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","96",""
"Colombia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","95","1"
"Colombia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","95",""
"Colombia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","95",""
"Colombia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","94",""
"Colombia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","94",""
"Comoros","Female","1999","UNESCO_UIS Database_Sep2007","Percent","94","1"
"Congo","Female","2005","UNESCO_UIS Database_Sep2007","Percent","86",""
"Congo","Female","2004","UNESCO_UIS Database_Sep2007","Percent","86",""
"Congo","Female","2003","UNESCO_UIS Database_Sep2007","Percent","93","1"
"Congo","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Congo","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Congo","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Congo","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Congo Dem. Rep.","Female","2003","UNESCO_UIS Database_Sep2007","Percent","34","1"
"Congo Dem. Rep.","Female","2001","UNESCO_UIS Database_Sep2007","Percent","88",""
"Congo Dem. Rep.","Female","2000","UNESCO_UIS Database_Sep2007","Percent","88","1"
"Cook Islands","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cook Islands","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cook Islands","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cook Islands","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cook Islands","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Costa Rica","Female","2005","UNESCO_UIS Database_Sep2007","Percent","94",""
"Costa Rica","Female","2004","UNESCO_UIS Database_Sep2007","Percent","95",""
"Costa Rica","Female","2003","UNESCO_UIS Database_Sep2007","Percent","96","1"
"Costa Rica","Female","2002","UNESCO_UIS Database_Sep2007","Percent","96",""
"Costa Rica","Female","2001","UNESCO_UIS Database_Sep2007","Percent","93",""
"Costa Rica","Female","2000","UNESCO_UIS Database_Sep2007","Percent","96",""
"Costa Rica","Female","1999","UNESCO_UIS Database_Sep2007","Percent","97",""
"Côte d’Ivoire","Female","2003","UNESCO_UIS Database_Sep2007","Percent","80","2"
"Côte d’Ivoire","Female","2002","UNESCO_UIS Database_Sep2007","Percent","87",""
"Côte d’Ivoire","Female","2001","UNESCO_UIS Database_Sep2007","Percent","80",""
"Côte d’Ivoire","Female","2000","UNESCO_UIS Database_Sep2007","Percent","83",""
"Côte d’Ivoire","Female","1999","UNESCO_UIS Database_Sep2007","Percent","96",""
"Croatia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Croatia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Croatia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
"Croatia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","100",""
"Croatia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cuba","Female","2005","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cuba","Female","2004","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cuba","Female","2003","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cuba","Female","2002","UNESCO_UIS Database_Sep2007","Percent","100",""
"Cuba","Female","2001","UNESCO_UIS Database_Sep2007","Percent","100",""
