"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2005","UNESCO_UIS Database_Sep2007","Percent","34","1"
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","22",""
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","20",""
"Afghanistan","Female","2002","UNESCO_UIS Database_Sep2007","Percent","24","1"
"Afghanistan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","-","2"
"Afghanistan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","-","2"
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Percent","76","1"
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Percent","76",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Percent","73","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Percent","73",""
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Percent","75",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Percent","75","1"
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","50",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","50",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","49",""
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","48",""
"Algeria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","47",""
"Algeria","Female","2000","UNESCO_UIS Database_Sep2007","Percent","46",""
"Algeria","Female","1999","UNESCO_UIS Database_Sep2007","Percent","46",""
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Percent","74",""
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Percent","77",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Percent","78",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Percent","75",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Percent","89",""
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Percent","90",""
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Percent","91",""
