"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","12",""
"Afghanistan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","12","1"
"Albania","Female","2004","UNESCO_UIS Database_Sep2007","Percent","41","1"
"Albania","Female","2003","UNESCO_UIS Database_Sep2007","Percent","41",""
"Albania","Female","2002","UNESCO_UIS Database_Sep2007","Percent","41","1"
"Albania","Female","2001","UNESCO_UIS Database_Sep2007","Percent","38","1"
"Albania","Female","2000","UNESCO_UIS Database_Sep2007","Percent","38",""
"Albania","Female","1999","UNESCO_UIS Database_Sep2007","Percent","36",""
"Algeria","Female","2005","UNESCO_UIS Database_Sep2007","Percent","34",""
"Algeria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","32",""
"Algeria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","32","1"
"Algeria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","32","1"
"Algeria","Female","2001","UNESCO_UIS Database_Sep2007","Percent","32","1"
"Andorra","Female","2005","UNESCO_UIS Database_Sep2007","Percent","47","1"
"Andorra","Female","2004","UNESCO_UIS Database_Sep2007","Percent","48",""
"Andorra","Female","2003","UNESCO_UIS Database_Sep2007","Percent","50",""
"Andorra","Female","2002","UNESCO_UIS Database_Sep2007","Percent","44",""
"Angola","Female","2002","UNESCO_UIS Database_Sep2007","Percent","20","1"
"Angola","Female","2000","UNESCO_UIS Database_Sep2007","Percent","20","1"
"Angola","Female","1999","UNESCO_UIS Database_Sep2007","Percent","20",""
"Anguilla","Female","2005","UNESCO_UIS Database_Sep2007","Percent","54",""
"Anguilla","Female","2004","UNESCO_UIS Database_Sep2007","Percent","53",""
"Anguilla","Female","2003","UNESCO_UIS Database_Sep2007","Percent","53",""
"Anguilla","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Anguilla","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Anguilla","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Anguilla","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","2004","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","2003","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Antigua and Barbuda","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Argentina","Female","2003","UNESCO_UIS Database_Sep2007","Percent","50","1"
"Argentina","Female","2002","UNESCO_UIS Database_Sep2007","Percent","50",""
"Argentina","Female","2001","UNESCO_UIS Database_Sep2007","Percent","49",""
"Argentina","Female","2000","UNESCO_UIS Database_Sep2007","Percent","54",""
"Argentina","Female","1999","UNESCO_UIS Database_Sep2007","Percent","54",""
"Armenia","Female","2005","UNESCO_UIS Database_Sep2007","Percent","46",""
"Armenia","Female","2004","UNESCO_UIS Database_Sep2007","Percent","46",""
"Armenia","Female","2003","UNESCO_UIS Database_Sep2007","Percent","46",""
"Armenia","Female","2002","UNESCO_UIS Database_Sep2007","Percent","47",""
"Armenia","Female","2001","UNESCO_UIS Database_Sep2007","Percent","42",""
"Armenia","Female","2000","UNESCO_UIS Database_Sep2007","Percent","42",""
"Armenia","Female","1999","UNESCO_UIS Database_Sep2007","Percent","42",""
"Aruba","Female","2005","UNESCO_UIS Database_Sep2007","Percent","45",""
"Aruba","Female","2004","UNESCO_UIS Database_Sep2007","Percent","47",""
"Aruba","Female","2003","UNESCO_UIS Database_Sep2007","Percent","46",""
"Aruba","Female","2002","UNESCO_UIS Database_Sep2007","Percent","47",""
"Aruba","Female","2001","UNESCO_UIS Database_Sep2007","Percent","42",""
"Aruba","Female","2000","UNESCO_UIS Database_Sep2007","Percent","45",""
"Aruba","Female","1999","UNESCO_UIS Database_Sep2007","Percent","43",""
"Austria","Female","2004","UNESCO_UIS Database_Sep2007","Percent","29","1"
"Austria","Female","2003","UNESCO_UIS Database_Sep2007","Percent","29",""
"Austria","Female","2002","UNESCO_UIS Database_Sep2007","Percent","29",""
"Azerbaijan","Female","2005","UNESCO_UIS Database_Sep2007","Percent","42",""
"Azerbaijan","Female","2004","UNESCO_UIS Database_Sep2007","Percent","44",""
"Azerbaijan","Female","2003","UNESCO_UIS Database_Sep2007","Percent","46",""
"Azerbaijan","Female","2002","UNESCO_UIS Database_Sep2007","Percent","42",""
"Azerbaijan","Female","2001","UNESCO_UIS Database_Sep2007","Percent","40",""
"Azerbaijan","Female","2000","UNESCO_UIS Database_Sep2007","Percent","37",""
"Azerbaijan","Female","1999","UNESCO_UIS Database_Sep2007","Percent","36",""
"Bahamas","Female","2005","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","2004","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","2003","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","2002","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","2001","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","2000","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahamas","Female","1999","UNESCO_UIS Database_Sep2007","Percent","…","2"
"Bahrain","Female","2005","UNESCO_UIS Database_Sep2007","Percent","41","1"
"Bahrain","Female","2004","UNESCO_UIS Database_Sep2007","Percent","36","1"
"Bahrain","Female","2003","UNESCO_UIS Database_Sep2007","Percent","36",""
"Bangladesh","Female","2005","UNESCO_UIS Database_Sep2007","Percent","15",""
"Bangladesh","Female","2004","UNESCO_UIS Database_Sep2007","Percent","17",""
"Bangladesh","Female","2003","UNESCO_UIS Database_Sep2007","Percent","15",""
"Bangladesh","Female","2002","UNESCO_UIS Database_Sep2007","Percent","15",""
"Bangladesh","Female","2001","UNESCO_UIS Database_Sep2007","Percent","19",""
"Bangladesh","Female","2000","UNESCO_UIS Database_Sep2007","Percent","14",""
"Bangladesh","Female","1999","UNESCO_UIS Database_Sep2007","Percent","14",""
"Barbados","Female","2001","UNESCO_UIS Database_Sep2007","Percent","51","1"
"Barbados","Female","2000","UNESCO_UIS Database_Sep2007","Percent","46","1"
"Barbados","Female","1999","UNESCO_UIS Database_Sep2007","Percent","41","1"
"Belarus","Female","2005","UNESCO_UIS Database_Sep2007","Percent","56",""
"Belarus","Female","2004","UNESCO_UIS Database_Sep2007","Percent","55",""
"Belarus","Female","2003","UNESCO_UIS Database_Sep2007","Percent","54",""
"Belarus","Female","2002","UNESCO_UIS Database_Sep2007","Percent","54",""
"Belarus","Female","2001","UNESCO_UIS Database_Sep2007","Percent","54",""
"Belarus","Female","2000","UNESCO_UIS Database_Sep2007","Percent","53",""
"Belarus","Female","1999","UNESCO_UIS Database_Sep2007","Percent","51",""
"Belgium","Female","2005","UNESCO_UIS Database_Sep2007","Percent","41",""
"Belgium","Female","2004","UNESCO_UIS Database_Sep2007","Percent","40",""
"Belgium","Female","2003","UNESCO_UIS Database_Sep2007","Percent","39",""
"Belgium","Female","2002","UNESCO_UIS Database_Sep2007","Percent","39",""
"Belgium","Female","2001","UNESCO_UIS Database_Sep2007","Percent","38",""
"Belgium","Female","2000","UNESCO_UIS Database_Sep2007","Percent","38","1"
"Belize","Female","2005","UNESCO_UIS Database_Sep2007","Percent","49","1"
"Belize","Female","2004","UNESCO_UIS Database_Sep2007","Percent","49","1"
